"Date","Price","Open","High","Low","Change %"
"May 18, 2021","27.3994","27.5350","27.5406","27.3853","-0.42%"
"May 17, 2021","27.5146","27.5650","27.5903","27.5166","-0.04%"
"May 14, 2021","27.5248","27.6550","27.6550","27.5422","-0.31%"
"May 13, 2021","27.6094","27.6350","27.6605","27.5804","0.04%"
"May 12, 2021","27.5992","27.5900","27.6770","27.5775","0.18%"
"May 11, 2021","27.5498","27.7225","27.7274","27.5821","-0.65%"
"May 07, 2021","27.7297","27.7375","27.8027","27.7138","0.00%"
"May 06, 2021","27.7292","27.7400","27.7795","27.6626","0.01%"
"May 05, 2021","27.7272","27.7650","27.8255","27.6695","-0.22%"
"Apr 30, 2021","27.7895","27.7750","27.8204","27.6983","0.29%"
"Apr 29, 2021","27.7099","27.7750","27.7895","27.7101","-0.19%"
"Apr 28, 2021","27.7618","27.7404","28.0175","27.7246","0.08%"
"Apr 27, 2021","27.7400","27.8099","28.0175","27.7290","-0.27%"
"Apr 26, 2021","27.8161","27.9100","28.0200","27.8092","-0.41%"
"Apr 23, 2021","27.9293","28.0175","28.0275","27.8534","0.11%"
"Apr 22, 2021","27.8992","28.0851","28.1129","27.9146","-0.61%"
"Apr 21, 2021","28.0698","28.0050","28.1595","27.9849","0.21%"
"Apr 20, 2021","28.0098","28.0070","28.0348","27.9725","0.21%"
"Apr 19, 2021","27.9500","27.9700","28.0499","27.9598","-0.07%"
"Apr 16, 2021","27.9690","27.9250","28.0135","27.9250","0.07%"
"Apr 15, 2021","27.9500","27.9150","28.0238","27.8995","0.17%"
"Apr 14, 2021","27.9019","28.0900","28.1005","27.8898","-0.60%"
"Apr 13, 2021","28.0700","27.9650","28.1029","27.9405","0.34%"
"Apr 12, 2021","27.9760","27.9500","27.9766","27.9050","0.24%"
"Apr 09, 2021","27.9093","27.9100","27.9597","27.8645","0.07%"
"Apr 08, 2021","27.8900","27.9352","28.0295","27.8945","-0.09%"
"Apr 07, 2021","27.9143","27.8675","27.9746","27.8200","0.49%"
"Apr 06, 2021","27.7771","27.8500","27.8845","27.7852","-0.15%"
"Apr 05, 2021","27.8196","27.9750","28.0200","27.8346","-0.70%"
"Apr 02, 2021","28.0146","27.8600","28.0539","27.7150","0.59%"
"Apr 01, 2021","27.8500","27.8102","27.8750","27.7150","0.11%"
"Mar 31, 2021","27.8198","27.8100","27.8874","27.7150","0.04%"
"Mar 30, 2021","27.8096","27.9447","27.9702","27.8290","-0.43%"
"Mar 29, 2021","27.9294","27.9902","28.0189","27.8650","-0.24%"
"Mar 26, 2021","27.9953","28.0400","28.0504","27.9202","0.09%"
"Mar 25, 2021","27.9697","27.9500","28.0453","27.8703","0.11%"
"Mar 24, 2021","27.9399","27.7750","27.9655","27.7150","0.70%"
"Mar 23, 2021","27.7445","27.6703","27.8349","27.6546","0.31%"
"Mar 22, 2021","27.6594","27.7150","27.7304","27.6621","-0.07%"
"Mar 19, 2021","27.6800","27.7100","27.7600","27.6730","0.07%"
"Mar 18, 2021","27.6600","27.7123","27.7279","27.6551","-0.16%"
"Mar 17, 2021","27.7050","27.7400","27.7528","27.6625","0.09%"
"Mar 16, 2021","27.6800","27.6000","27.7700","27.5632","0.33%"
"Mar 15, 2021","27.5900","27.7025","27.7482","27.6005","-0.39%"
"Mar 12, 2021","27.6990","27.7388","27.7689","27.6905","-0.00%"
"Mar 11, 2021","27.7000","27.7350","27.7755","27.6825","-0.11%"
"Mar 10, 2021","27.7300","27.7649","27.7799","27.6467","0.00%"
"Mar 09, 2021","27.7295","27.7600","27.8274","27.6845","-0.09%"
"Mar 05, 2021","27.7550","27.7025","27.8130","27.6602","0.27%"
"Mar 04, 2021","27.6800","27.7875","27.9900","27.6555","-0.25%"
"Mar 03, 2021","27.7497","27.8902","27.9750","27.7671","-0.50%"
"Mar 02, 2021","27.8900","27.9200","28.0095","27.8650","-0.21%"
"Mar 01, 2021","27.9500","27.9600","28.0347","27.8675","0.00%"
"Feb 26, 2021","27.9500","27.9100","28.0030","27.8872","0.29%"
"Feb 25, 2021","27.8700","27.9400","27.9792","27.8353","-0.30%"
"Feb 24, 2021","27.9544","27.9450","27.9806","27.8925","0.16%"
"Feb 23, 2021","27.9095","27.8800","27.9580","27.8549","0.11%"
"Feb 22, 2021","27.8797","27.8750","27.9730","27.8346","0.11%"
"Feb 19, 2021","27.8492","27.8575","27.8797","27.8100","0.07%"
"Feb 18, 2021","27.8291","27.9300","27.9300","27.8025","0.10%"
"Feb 17, 2021","27.8000","27.9150","27.9645","27.8100","-0.25%"
"Feb 16, 2021","27.8700","27.7900","27.9273","27.7733","0.43%"
"Feb 15, 2021","27.7496","27.8450","28.0457","27.7712","-0.54%"
"Feb 12, 2021","27.8995","27.7350","27.9454","27.7246","0.54%"
"Feb 11, 2021","27.7500","27.9200","27.9403","27.7350","-0.43%"
"Feb 10, 2021","27.8700","27.6950","27.9329","27.6650","0.68%"
"Feb 09, 2021","27.6824","27.6350","27.7157","27.5605","0.23%"
"Feb 08, 2021","27.6193","27.7152","27.7575","27.6208","-0.22%"
"Feb 05, 2021","27.6791","27.8300","27.9650","27.7033","-0.43%"
"Feb 04, 2021","27.8000","27.9599","28.0500","27.8190","-0.39%"
"Feb 03, 2021","27.9095","28.0299","28.0634","27.9300","-0.32%"
"Feb 02, 2021","27.9991","28.0350","28.0749","28.0057","-0.18%"
"Feb 01, 2021","28.0491","28.1150","28.1551","28.0196","-0.18%"
"Jan 29, 2021","28.1000","28.1350","28.1658","28.0996","-0.11%"
"Jan 28, 2021","28.1299","28.1840","28.2332","28.1301","-0.04%"
"Jan 27, 2021","28.1400","28.1875","28.1975","28.1376","-0.17%"
"Jan 26, 2021","28.1875","28.1401","28.1884","28.1345","0.19%"
"Jan 25, 2021","28.1347","28.1701","28.2001","28.1288","-0.05%"
"Jan 22, 2021","28.1500","28.2150","28.2409","28.1147","-0.14%"
"Jan 21, 2021","28.1900","28.2402","28.3110","28.1992","-0.04%"
"Jan 20, 2021","28.2000","28.1651","28.2824","28.1280","0.18%"
"Jan 19, 2021","28.1500","28.2300","28.2595","28.1040","-0.18%"
"Jan 18, 2021","28.2000","28.1549","28.2907","28.1250","0.36%"
"Jan 15, 2021","28.0994","28.0600","28.1555","28.0152","0.15%"
"Jan 14, 2021","28.0572","28.0600","28.1079","28.0105","0.13%"
"Jan 13, 2021","28.0212","28.0257","28.0754","27.9303","0.08%"
"Jan 12, 2021","27.9990","28.2250","28.2250","28.0165","-0.43%"
"Jan 11, 2021","28.1190","28.2663","28.2833","28.1225","-0.44%"
"Jan 06, 2021","28.2432","28.4400","28.4400","28.2355","-0.62%"
"Jan 05, 2021","28.4200","28.4600","28.5150","28.2050","-0.03%"
"Jan 04, 2021","28.4290","28.2700","28.4670","28.2700","-0.16%"
"Jan 01, 2021","28.4753","28.4753","28.4753","28.4753","0.49%"
"Dec 30, 2020","28.3350","28.1900","28.3845","28.1825","0.66%"
"Dec 29, 2020","28.1500","28.3050","28.3345","28.1630","-0.35%"
"Dec 28, 2020","28.2500","28.3550","28.3983","28.2755","-0.35%"
"Dec 24, 2020","28.3500","28.3400","28.4325","28.2925","0.18%"
"Dec 23, 2020","28.3000","28.4250","28.4945","28.3400","-0.35%"
"Dec 22, 2020","28.3990","28.1900","28.4400","28.1205","1.01%"
"Dec 21, 2020","28.1150","28.0625","28.2400","27.9175","0.41%"
"Dec 18, 2020","27.9990","27.7925","28.0650","27.7155","0.72%"
"Dec 17, 2020","27.7990","27.8100","27.8808","27.7555","-0.00%"
"Dec 16, 2020","27.8000","27.7150","27.8870","27.6600","0.29%"
"Dec 15, 2020","27.7200","27.8200","27.8500","27.7330","-0.43%"
"Dec 14, 2020","27.8400","27.9650","27.9700","27.8170","-0.36%"
"Dec 11, 2020","27.9400","28.0100","28.1000","27.9200","-0.32%"
"Dec 10, 2020","28.0290","28.0900","28.1095","28.0250","-0.15%"
"Dec 09, 2020","28.0700","28.1138","28.1405","28.0040","-0.21%"
"Dec 08, 2020","28.1300","28.1200","28.1575","28.0450","0.11%"
"Dec 07, 2020","28.1000","28.2650","28.2900","28.1105","-0.53%"
"Dec 04, 2020","28.2500","28.2600","28.3232","28.2350","-0.04%"
"Dec 03, 2020","28.2600","28.3400","28.3678","28.2435","-0.18%"
"Dec 02, 2020","28.3100","28.5000","28.5205","28.3160","-0.66%"
"Dec 01, 2020","28.4990","28.5050","28.5819","28.4945","0.07%"
"Nov 30, 2020","28.4800","28.5400","28.5520","28.1000","-0.11%"
"Nov 27, 2020","28.5100","28.4600","28.5693","28.3700","0.21%"
"Nov 26, 2020","28.4491","28.3400","28.4885","28.3400","0.07%"
"Nov 25, 2020","28.4290","28.3650","28.4750","28.3255","0.32%"
"Nov 24, 2020","28.3390","28.3750","28.3995","28.2300","-0.07%"
"Nov 23, 2020","28.3590","28.3700","28.3915","28.3150","0.17%"
"Nov 20, 2020","28.3100","28.3550","28.3995","28.2000","-0.19%"
"Nov 19, 2020","28.3650","28.2414","28.3850","28.1666","0.69%"
"Nov 18, 2020","28.1700","28.1525","28.2300","28.1030","0.15%"
"Nov 17, 2020","28.1290","28.1250","28.1470","28.0730","0.10%"
"Nov 16, 2020","28.1000","28.1050","28.1400","28.0850","-0.08%"
"Nov 13, 2020","28.1211","28.1750","28.1925","28.0800","-0.13%"
"Nov 12, 2020","28.1590","28.1900","28.2301","28.1545","-0.11%"
"Nov 11, 2020","28.1890","28.1900","28.2225","28.1276","0.09%"
"Nov 10, 2020","28.1640","28.1175","28.1838","28.0900","0.25%"
"Nov 09, 2020","28.0940","28.1000","28.1700","28.0700","-0.16%"
"Nov 06, 2020","28.1390","28.2600","28.5050","28.0650","-0.21%"
"Nov 05, 2020","28.1991","28.3800","28.4825","28.1770","-0.49%"
"Nov 04, 2020","28.3390","28.5613","28.5767","28.3800","-0.67%"
"Nov 03, 2020","28.5290","28.6350","28.6720","28.5155","-0.31%"
"Nov 02, 2020","28.6190","28.5250","28.6375","28.4450","0.42%"
"Oct 30, 2020","28.4990","28.4502","28.5250","28.4242","0.19%"
"Oct 29, 2020","28.4440","28.4125","28.4701","28.4005","0.18%"
"Oct 28, 2020","28.3940","28.3765","28.4345","28.3591","0.11%"
"Oct 27, 2020","28.3620","28.3350","28.3825","28.3263","0.17%"
"Oct 26, 2020","28.3140","28.3275","28.3557","28.3080","0.04%"
"Oct 23, 2020","28.3040","28.3092","28.3350","28.2642","0.11%"
"Oct 22, 2020","28.2740","28.2475","28.3207","28.2209","0.16%"
"Oct 21, 2020","28.2290","28.3275","28.3475","28.2383","-0.25%"
"Oct 20, 2020","28.2990","28.3825","28.3972","28.3217","-0.26%"
"Oct 19, 2020","28.3740","28.3615","28.3995","28.3420","0.07%"
"Oct 16, 2020","28.3540","28.3450","28.3862","28.3255","0.07%"
"Oct 15, 2020","28.3350","28.3400","28.3645","28.3100","0.05%"
"Oct 14, 2020","28.3200","28.3400","28.3400","28.3400","0.00%"
"Oct 13, 2020","28.3200","28.3139","28.3612","28.2755","0.09%"
"Oct 12, 2020","28.2940","28.2500","28.3146","28.2050","0.19%"
"Oct 09, 2020","28.2400","28.2376","28.3250","28.1805","0.11%"
"Oct 08, 2020","28.2090","28.3250","28.3355","28.2075","-0.39%"
"Oct 07, 2020","28.3200","28.3600","28.4100","28.2850","-0.07%"
"Oct 06, 2020","28.3390","28.4100","28.4405","28.3055","-0.18%"
"Oct 05, 2020","28.3900","28.3762","28.4425","28.3350","0.09%"
"Oct 02, 2020","28.3655","28.3550","28.3800","28.3035","0.09%"
"Oct 01, 2020","28.3400","28.3000","28.3590","28.2840","0.21%"
"Sep 30, 2020","28.2800","28.3365","28.3465","28.2687","-0.15%"
"Sep 29, 2020","28.3212","28.2700","28.3421","28.2650","0.25%"
"Sep 28, 2020","28.2500","28.2625","28.3315","28.2325","-0.11%"
"Sep 25, 2020","28.2800","28.2625","28.3069","28.2362","0.10%"
"Sep 24, 2020","28.2530","28.2250","28.2775","28.2061","0.19%"
"Sep 23, 2020","28.2000","28.2011","28.2418","28.1572","0.09%"
"Sep 22, 2020","28.1757","28.2213","28.2827","28.0700","-0.14%"
"Sep 21, 2020","28.2150","28.1750","28.2725","28.1550","0.20%"
"Sep 18, 2020","28.1600","28.1425","28.1890","28.1315","0.11%"
"Sep 17, 2020","28.1300","28.0680","28.1600","28.0325","0.34%"
